device,R,k,slides,meanWindowPoints,meanOutlierRate,fracZeroSlides
A,0.75,10,33678,356.22,0.000522,0.9868
A,1.00,10,33678,356.22,0.000481,0.9936
A,1.25,10,33678,356.22,0.000456,0.9960
A,1.50,10,33678,356.22,0.000448,0.9965
A,1.75,10,33678,356.22,0.000446,0.9966
B,0.75,10,33082,332.38,0.000414,0.9970
B,1.00,10,33082,332.38,0.000377,0.9990
B,1.25,10,33082,332.38,0.000363,0.9996
B,1.50,10,33082,332.38,0.000363,0.9996
B,1.75,10,33082,332.38,0.000363,0.9996
C,0.75,10,33680,356.21,0.000662,0.9677
C,1.00,10,33680,356.21,0.000583,0.9772
C,1.25,10,33680,356.21,0.000490,0.9896
C,1.50,10,33680,356.21,0.000405,0.9982
C,1.75,10,33680,356.21,0.000399,0.9985
D,0.75,10,33685,356.62,0.001196,0.9690
D,1.00,10,33685,356.62,0.000738,0.9803
D,1.25,10,33685,356.62,0.000505,0.9904
D,1.50,10,33685,356.62,0.000433,0.9975
D,1.75,10,33685,356.62,0.000425,0.9984
E,0.75,10,33686,356.65,0.000463,0.9955
E,1.00,10,33686,356.65,0.000438,0.9976
E,1.25,10,33686,356.65,0.000419,0.9991
E,1.50,10,33686,356.65,0.000419,0.9993
E,1.75,10,33686,356.65,0.000418,0.9994
F,0.75,10,33683,356.20,0.000369,0.9978
F,1.00,10,33683,356.20,0.000362,0.9990
F,1.25,10,33683,356.20,0.000359,0.9993
F,1.50,10,33683,356.20,0.000357,0.9996
F,1.75,10,33683,356.20,0.000357,0.9996
G,0.75,10,33678,356.04,0.010278,0.7446
G,1.00,10,33678,356.04,0.006149,0.7919
G,1.25,10,33678,356.04,0.003767,0.8203
G,1.50,10,33678,356.04,0.002650,0.8423
G,1.75,10,33678,356.04,0.002160,0.8584
H,0.75,10,32783,333.79,0.000744,0.9908
H,1.00,10,32783,333.79,0.000612,0.9959
H,1.25,10,32783,333.79,0.000585,0.9969
H,1.50,10,32783,333.79,0.000573,0.9973
H,1.75,10,32783,333.79,0.000566,0.9974
